file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_default_reward/q_learning_training.csv,2000,,,,,,,,18.645833333333332,28.0,,,,,,,,,2000.0,-2685.0,-18.645833333333332,106.57827476038338,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_delta_wait/q_learning_trace.csv,144,,,-2.0,7.0,37.0,69.34504792332268,,,,143.0,720.0,3.0,4.0,,,,,,,,,,,0.0,2.0,2.0,3.0,3.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,4.083333333333333,12.0,,,,,,,,,2000.0,-12.0,-0.0833333333333333,69.370607028754,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-69.2,65.0,84.0,132.44089456869008,,,,143.0,720.0,1.0,2.0,,,,,,,,,,,1.0,10.0,10.0,5.0,1.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,14.541666666666666,25.0,,,,,,,,,2000.0,-2396.2499999999995,-16.640625,96.98083067092652,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_wait_vehicle/q_learning_trace.csv,144,,,-30.6,25.0,56.0,99.92012779552716,,,,143.0,720.0,3.0,4.0,,,,,,,,,,,0.0,7.0,10.0,7.0,3.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,14.53472222222222,16.0,,,,,,,,,2000.0,-2698.0,-18.73611111111111,97.01916932907348,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/hangzhou_comparison/comparison_single_run.csv,17,,,,,,95.48228583141989,-6894.0,47.875,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_default_reward/q_learning_trace.csv,144,,,-63.0,63.0,103.0,155.8045738045738,,,,143.0,720.0,7.0,8.0,3.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_default_reward/q_learning_training.csv,2000,,,,,,,,35.97222222222222,64.0,,,,,,,,,2000.0,-5180.0,-35.97222222222222,134.54261954261955,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_delta_wait/training.csv,2000,,,,,,,,,36.0,,,,,,,,,2000.0,-36.0,,104.47817047817048,0.05,,,,,,,,,,,,,,,,
