dataset,model,state_mode,reward_mode,mean_total_reward,mean_final_waiting,mean_avg_waiting,mean_avg_travel_time
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_with_phase,delta_wait,-37.0,37.0,24.96527777777778,112.82744282744281
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_with_phase,delta_wait,-50.0,50.0,30.416666666666668,107.93139293139293
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_with_phase,delta_wait,-50.0,50.0,29.618055555555554,110.81496881496882
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,env,-2617.0000000000005,40.0,18.944444444444446,96.65601965601965
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,env,-3721.499999999999,55.0,43.11111111111111,163.33169533169533
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,env,-1816.7999999999997,15.0,8.38888888888889,77.95577395577394
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,wait_only,-1231.0,12.0,8.54861111111111,78.18427518427518
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,wait_only,-1532.0,13.0,10.63888888888889,83.7985257985258
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,wait_only,-1863.0,19.0,12.9375,87.85503685503684
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,wait_plus_vehicle,-1939.5000000000007,9.0,9.097222222222223,78.61916461916462
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,wait_plus_vehicle,-2296.0,26.0,11.354166666666668,82.44226044226045
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,wait_plus_vehicle,-1692.7000000000003,13.0,7.513888888888888,76.27518427518427
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,delta_wait,-14.0,14.0,7.5,76.007371007371
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,delta_wait,-13.0,13.0,5.743055555555555,71.73955773955774
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,delta_wait,-17.0,17.0,6.402777777777777,73.24815724815724
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,env,-2491.2,38.0,23.791666666666664,107.70270270270271
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,env,-3897.5,68.0,45.33333333333333,165.9238329238329
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,env,-2128.9000000000005,13.0,10.32638888888889,81.19410319410318
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,wait_only,-1270.0,14.0,8.819444444444445,79.6068796068796
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,wait_only,-997.0,14.0,6.923611111111112,74.31695331695332
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,wait_only,-1119.0,11.0,7.770833333333333,76.65356265356266
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,wait_plus_vehicle,-1921.1999999999996,13.0,8.958333333333332,78.87223587223589
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,wait_plus_vehicle,-2260.6,20.0,11.1875,81.14004914004913
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,wait_plus_vehicle,-2502.499999999999,16.0,12.541666666666668,86.95331695331696
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,delta_wait,-19.0,19.0,10.75,83.9090909090909
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,delta_wait,-8.0,8.0,5.326388888888888,70.32432432432434
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,delta_wait,-15.0,15.0,10.159722222222223,82.31203931203933
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,env,-3463.5999999999995,50.0,39.24305555555556,153.04668304668306
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,env,-6608.2,134.0,74.42361111111111,210.06142506142504
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,env,-4413.3,61.0,26.71527777777778,105.84520884520884
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,wait_only,-4572.0,44.0,31.75,120.02702702702705
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,wait_only,-4054.0,105.0,28.15277777777778,103.40786240786242
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,wait_only,-3722.0,55.0,25.84722222222222,106.16461916461917
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,wait_plus_vehicle,-5543.5999999999985,56.0,31.888888888888893,125.96560196560196
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,wait_plus_vehicle,-5097.999999999997,67.0,29.34722222222222,108.31449631449632
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,wait_plus_vehicle,-5274.199999999999,66.0,30.3125,112.94348894348896
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,delta_wait,-33.0,33.0,17.84722222222222,95.98280098280098
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,delta_wait,-29.0,29.0,12.909722222222223,84.64619164619167
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,delta_wait,-29.0,29.0,12.11111111111111,82.94103194103194
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,env,-4302.199999999998,69.0,40.1875,140.74692874692875
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,env,-6608.2,134.0,74.42361111111111,210.06142506142504
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,env,-6470.300000000002,158.0,82.04861111111111,212.99017199017197
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,wait_only,-1114.0,16.0,7.736111111111112,75.7764127764128
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,wait_only,-1362.0,20.0,9.458333333333332,77.37837837837836
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,wait_only,-3132.0,47.0,21.75,101.27764127764127
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,wait_plus_vehicle,-2804.1,38.0,14.5625,88.02702702702705
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,wait_plus_vehicle,-6848.300000000001,109.0,40.54861111111111,125.45454545454545
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,wait_plus_vehicle,-9972.7,137.0,60.8125,162.1056511056511
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,delta_wait,-20.0,20.0,12.70138888888889,87.990171990172
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,delta_wait,-23.0,23.0,11.125,81.26535626535625
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,delta_wait,-25.0,25.0,13.041666666666666,85.46191646191645
