decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
123,620.0,5,6,1,4,0,3,5,-35.0,35.0,67,83.08791208791209
124,625.0,0,1,1,4,0,2,0,-32.0,32.0,67,83.69454545454545
125,630.0,6,7,1,4,0,2,6,-29.0,29.0,69,83.70609318996416
126,635.0,3,4,2,3,1,3,3,-35.0,35.0,69,84.64642857142857
127,640.0,1,2,2,4,0,3,1,-35.0,35.0,68,85.86785714285715
128,645.0,6,7,2,3,1,3,6,-33.0,33.0,65,86.4290780141844
129,650.0,3,4,3,3,1,4,3,-33.0,33.0,67,86.38461538461539
130,655.0,2,3,3,3,1,3,2,-34.0,34.0,64,87.52097902097903
131,660.0,5,6,3,4,1,3,5,-32.0,32.0,63,88.00694444444444
132,665.0,4,5,2,4,1,2,4,-27.0,27.0,64,88.48620689655172
133,670.0,6,7,1,3,1,3,6,-24.0,24.0,61,89.23711340206185
134,675.0,2,3,2,3,2,3,2,-34.0,34.0,61,88.74662162162163
135,680.0,0,1,1,4,2,2,0,-32.0,32.0,63,89.18456375838926
136,685.0,6,7,1,3,2,1,6,-31.0,31.0,66,87.93137254901961
137,690.0,0,1,0,3,3,2,0,-36.0,36.0,69,88.22653721682848
138,695.0,2,3,1,3,3,2,2,-37.0,37.0,69,89.35275080906149
139,700.0,0,1,0,3,3,1,0,-37.0,37.0,67,90.44983818770227
140,705.0,0,1,0,3,3,1,0,-38.0,38.0,67,91.53398058252426
141,710.0,0,1,0,3,4,1,0,-40.0,40.0,63,92.57281553398059
142,715.0,7,8,0,3,3,1,7,-43.0,43.0,64,92.7051282051282
143,720.0,3,4,0,3,3,2,3,-42.0,42.0,62,93.41214057507987
