decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
130,655.0,0,1,3,4,1,1,0,-67.7,58.0,97,133.3846153846154
131,660.0,3,4,3,3,2,1,3,-62.7,53.0,97,134.3536036036036
132,665.0,1,2,3,4,0,2,1,-56.8,47.0,98,134.42538975501114
133,670.0,7,8,3,4,0,2,7,-58.9,49.0,99,135.11725663716814
134,675.0,1,2,3,4,0,2,1,-63.0,53.0,100,136.39955849889625
135,680.0,7,8,4,4,0,2,7,-65.2,55.0,102,136.7964989059081
136,685.0,0,1,4,4,0,1,0,-63.0,53.0,100,138.35229759299781
137,690.0,6,7,4,3,2,1,6,-65.0,55.0,100,139.88840262582056
138,695.0,5,6,4,4,3,1,5,-71.6,62.0,96,141.38949671772428
139,700.0,7,8,4,4,2,1,7,-66.0,56.0,100,141.35497835497836
140,705.0,6,7,4,3,1,1,6,-61.8,52.0,98,141.94838709677418
141,710.0,1,2,4,3,1,2,1,-62.2,52.0,102,142.2537313432836
142,715.0,5,6,4,3,2,0,5,-64.2,54.0,102,141.99157894736842
143,720.0,7,8,4,3,1,1,7,-63.1,53.0,101,141.75467775467774
