decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
121,610.0,6,7,2,1,0,2,6,-4.0,11.0,48,65.12359550561797
122,615.0,0,1,0,2,0,3,0,2.0,9.0,45,65.73507462686567
123,620.0,6,7,1,1,0,3,6,-2.0,11.0,46,65.37362637362638
124,625.0,0,1,0,3,0,2,0,0.0,11.0,46,65.72363636363636
125,630.0,5,6,0,3,0,1,5,1.0,10.0,46,65.59139784946237
126,635.0,1,2,0,3,0,1,1,2.0,8.0,45,66.18214285714286
127,640.0,1,2,0,2,0,3,1,-1.0,9.0,43,66.95714285714286
128,645.0,5,6,0,2,0,2,5,3.0,6.0,41,67.22340425531915
129,650.0,0,1,0,3,0,0,0,-1.0,7.0,43,67.02797202797203
130,655.0,1,2,0,3,0,2,1,-3.0,10.0,41,67.76223776223776
131,660.0,6,7,0,2,0,2,6,2.0,8.0,39,67.95486111111111
132,665.0,5,6,1,1,0,2,5,2.0,6.0,37,68.12758620689655
133,670.0,4,5,0,3,0,2,4,-3.0,9.0,35,68.49828178694158
134,675.0,5,6,0,3,1,0,5,0.0,9.0,37,67.95608108108108
135,680.0,1,2,0,2,1,1,1,1.0,8.0,37,68.10738255033557
136,685.0,6,7,0,0,1,1,6,4.0,4.0,39,66.98039215686275
137,690.0,7,8,0,1,0,1,7,0.0,4.0,40,67.02265372168284
138,695.0,1,2,0,1,0,1,1,1.0,3.0,41,67.6957928802589
139,700.0,2,3,0,1,1,1,2,-2.0,5.0,40,68.34304207119742
140,705.0,1,2,0,1,0,2,1,-1.0,6.0,38,68.96763754045307
141,710.0,5,6,0,2,1,0,5,2.0,4.0,35,69.55016181229773
142,715.0,1,2,0,1,1,1,1,-2.0,6.0,34,69.4326923076923
143,720.0,7,8,0,2,0,2,7,-1.0,7.0,33,69.74760383386581
