episode,total_reward,final_waiting,final_avg_travel_time,epsilon
85,-55.0,55.0,168.42411642411642,0.7746195551602378
86,-67.0,67.0,152.56133056133055,0.7722956964947572
87,-74.0,74.0,145.86694386694387,0.7699788094052729
88,-81.0,81.0,176.25363825363826,0.767668872977057
89,-71.0,71.0,159.73804573804574,0.7653658663581259
90,-61.0,61.0,145.2889812889813,0.7630697687590515
91,-66.0,66.0,171.95841995841997,0.7607805594527743
92,-58.0,58.0,154.1122661122661,0.7584982177744161
93,-61.0,61.0,146.33056133056132,0.7562227231210928
94,-46.0,46.0,155.43243243243242,0.7539540549517295
95,-64.0,64.0,173.47609147609148,0.7516921927868743
96,-46.0,46.0,173.7920997920998,0.7494371162085136
97,-65.0,65.0,170.83575883575884,0.747188804859888
98,-70.0,70.0,143.56548856548858,0.7449472384453084
99,-91.0,91.0,155.43451143451142,0.7427123967299725
100,-79.0,79.0,153.30769230769232,0.7404842595397826
101,-63.0,63.0,154.2016632016632,0.7382628067611632
102,-53.0,53.0,137.22037422037423,0.7360480183408797
103,-62.0,62.0,149.2869022869023,0.7338398742858571
104,-47.0,47.0,146.92307692307693,0.7316383546629995
105,-50.0,50.0,151.59043659043658,0.7294434395990105
106,-67.0,67.0,155.3929313929314,0.7272551092802134
107,-57.0,57.0,164.30977130977132,0.7250733439523728
108,-55.0,55.0,156.6008316008316,0.7228981239205157
109,-53.0,53.0,142.004158004158,0.7207294295487541
110,-82.0,82.0,160.64241164241164,0.7185672412601078
111,-50.0,50.0,156.06444906444906,0.7164115395363275
112,-62.0,62.0,154.68814968814968,0.7142623049177186
113,-62.0,62.0,136.6091476091476,0.7121195180029655
114,-51.0,51.0,160.993762993763,0.7099831594489566
